Disease,Symptom(problem by user),Prescription and diagnosis
Urticaria (Hives),"Raised, red, itchy welts on the skin, swelling of the skin, burning or stinging sensation","Antihistamines (oral or topical), corticosteroids (oral or topical), avoiding triggers (certain foods, medications, insect bites), managing stress"
Testicular Cancer,"Lump or swelling in the testicle, feeling of heaviness or discomfort in the scrotum, pain or discomfort in the testicle","Surgery (orchidectomy), chemotherapy, radiation therapy, surveillance (monitoring for recurrence), support services"
Testicular Cancer: Teenagers and Young Adults,"Same as above, plus pain in the lower abdomen or groin, back pain, breast enlargement (gynecomastia)","Same as above, tailored to the individual's age and circumstances"
Testicular Lumps and Swellings,"Lump or swelling in the testicle, scrotal pain or discomfort, heaviness in the scrotum","Examination by a healthcare professional, ultrasound imaging, treatment based on the cause (e.g., surgery for testicular cancer, medications for infection or inflammation)"
Thirst,"Feeling excessively thirsty, dry mouth, dark yellow urine, dry skin, fatigue","Drinking plenty of fluids, identifying and treating underlying causes (dehydration, diabetes, etc.)"
Threadworms,"Itching around the anus, especially at night, visible worms in feces or around the anus","Anthelmintic medications (mebendazole, pyrantel pamoate), hygiene measures (regular handwashing, keeping nails short), washing bedding and clothing in hot water"
Thrush,"Itching, soreness, and irritation in the genital area (men) or vagina (women), white, curd-like vaginal discharge (women)","Antifungal medications (clotrimazole, fluconazole), topical creams or suppositories, maintaining good hygiene, avoiding irritants and triggers"
Thyroid Cancer,"Lump or swelling in the neck, hoarseness, difficulty swallowing or breathing, persistent cough","Surgery (thyroidectomy), radioactive iodine therapy, hormone therapy, external beam radiation therapy, targeted therapy"
Thyroid Cancer: Teenagers and Young Adults,"Same as above, plus weight loss, fatigue, changes in menstrual periods (women), delayed puberty (teens)","Same as above, tailored to the individual's age and circumstances"
Tinnitus,"Ringing, buzzing, roaring, clicking, or hissing sounds in the ears, may be constant or intermittent","Identifying and treating underlying causes (hearing loss, ear injury, medication side effects), sound therapy, counseling, relaxation techniques"
Tonsillitis,"Sore throat, difficulty swallowing, swollen tonsils, fever, swollen lymph nodes in the neck","Antibiotics (if bacterial), rest, hydration, pain relievers, throat lozenges, warm saltwater gargle"
Tooth Decay,"Toothache, tooth sensitivity to hot, cold, or sweet foods, visible pits or holes in the teeth, bad breath","Dental fillings, crowns, root canal therapy (for advanced decay), fluoride treatments, good oral hygiene practices, regular dental check-ups"
Toothache,"Pain or discomfort in or around the tooth, sensitivity to hot, cold, or sweet foods, swelling of the gums or face","Identifying and treating underlying causes (cavities, gum disease, tooth abscess), pain relievers, dental treatments"
Transient Ischaemic Attack (TIA),"Sudden weakness or numbness in the face, arm, or leg (usually on one side of the body), speech difficulties, dizziness","Emergency medical attention, identifying and managing risk factors (hypertension, diabetes, high cholesterol), medications to prevent blood clots or control underlying conditions"
Trigeminal Neuralgia,"Severe facial pain (usually on one side) described as sharp, stabbing, or electric shock-like, triggered by touch","Medications (anticonvulsants, muscle relaxants), nerve blocks, surgery (microvascular decompression), acupuncture, relaxation techniques"
Tuberculosis (TB),"Cough lasting more than 3 weeks, chest pain, coughing up blood or sputum, fever, night sweats, weight loss","Antibiotics (multiple drugs for a prolonged period), directly observed therapy (DOT) for adherence, isolation in contagious cases, vaccination (BCG)"
Type 1 Diabetes,"Excessive thirst, frequent urination, extreme hunger, unexplained weight loss, fatigue, irritability","Insulin therapy (multiple daily injections or insulin pump), blood sugar monitoring, carbohydrate counting, dietary management, regular exercise, continuous glucose monitoring"
Type 2 Diabetes,"Excessive thirst, frequent urination, increased hunger, fatigue, blurred vision, slow-healing sores or infections","Lifestyle changes (healthy diet, exercise), oral medications (metformin, sulfonylureas, etc.), insulin therapy (if necessary), blood sugar monitoring, weight management"
Trichomonas Infection,"Itching, burning, redness, or soreness in the genital area (men and women), abnormal vaginal discharge (women)","Antibiotics (metronidazole, tinidazole), abstinence from sex during treatment, treating sexual partners, practicing safe sex"
Transverse Myelitis,"Sudden onset of back pain, weakness or paralysis in the legs or arms, sensory disturbances (numbness, tingling)","Supportive care, physical therapy, medications (corticosteroids, immunosuppressants), treating underlying cause (infection, autoimmune disease)"
Gallbladder Cancer,"Abdominal pain, jaundice (yellowing of skin and eyes), unexplained weight loss, nausea, vomiting, bloating, fever, fatigue.","Treatment depends on the stage of cancer and may include surgery (resection, liver transplant), chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care to manage symptoms."
Gallstones,"Sudden and intensifying pain in the upper right abdomen, back pain between the shoulder blades, pain in the right shoulder, nausea, vomiting, bloating, indigestion, clay-colored stools.","Treatment may involve pain management (with medications), dietary modifications (low-fat diet), medications to dissolve stones (ursodeoxycholic acid), procedures to remove stones (ERCP, lithotripsy), surgery (cholecystectomy)."
Ganglion Cyst,"Round or oval lump under the skin, usually on the wrist or hand, may be painful or tender, may grow in size.","Observation (if asymptomatic), splinting or bracing, aspiration (draining fluid from the cyst), steroid injection, surgical removal (if symptomatic or large)."
Gastroenteritis,"Diarrhea, nausea, vomiting, abdominal pain or cramping, fever, headache, muscle aches.","Hydration (oral rehydration solutions, intravenous fluids if severe), symptomatic relief (antidiarrheal medications, antiemetics), rest, bland diet, avoiding dehydration, avoiding spreading infection (handwashing, staying home from work or school)."
Gastro-oesophageal Reflux Disease (GORD),"Heartburn, regurgitation of sour or bitter-tasting acid into the throat, difficulty swallowing, chronic cough, hoarseness, chest pain.","Lifestyle modifications (dietary changes, weight loss, avoiding trigger foods), medications (antacids, H2 blockers, proton pump inhibitors), avoiding lying down after meals, raising the head of the bed, avoiding tight clothing around the abdomen, avoiding smoking and alcohol."
Genital Herpes,"Painful blisters or sores on or around the genital area, itching or tingling sensation, flu-like symptoms (fever, headache, muscle aches), swollen lymph nodes.","Antiviral medications (acyclovir, valacyclovir, famciclovir) to reduce symptoms and outbreak frequency, pain relief medications (NSAIDs, topical anesthetics), maintaining good hygiene, avoiding sexual activity during outbreaks, using condoms, disclosing status to sexual partners."
Genital Symptoms,"Varied depending on the specific condition (e.g., pain, itching, discharge, lesions).","Treatment depends on the underlying cause and may include medications (antibiotics for bacterial infections, antifungals for fungal infections), topical treatments, lifestyle modifications, avoiding irritants, practicing safe sex, regular medical check-ups."
Genital Warts,"Small, flesh-colored bumps or growths on or around the genitals, may be itchy or painful, may form clusters, may be flat or raised.","Topical treatments (imiquimod, podofilox, sinecatechins), procedures (cryotherapy, surgical removal), prescription medications (trichloroacetic acid), avoiding sexual contact during treatment, regular medical check-ups, vaccination against HPV (to prevent future infections)."
Germ Cell Tumours,"Varied depending on the location and type of tumor, may include pain or swelling in the abdomen, pelvis, or scrotum, difficulty breathing, persistent cough, neurological symptoms.","Treatment depends on the type and stage of the tumor and may include surgery, chemotherapy, radiation therapy, stem cell transplant, targeted therapy, surveillance."
Glandular Fever,"Fatigue, sore throat, fever, swollen lymph nodes in the neck and armpits, swollen tonsils, headache, muscle aches, rash.","Symptomatic relief (rest, hydration, fever reducers, pain relievers), avoiding contact sports, limiting activities, maintaining good hygiene, avoiding spreading infection (sharing utensils, kissing), seeking medical attention if symptoms worsen or if complications develop (e.g., difficulty breathing)."
Gonorrhoea,"Painful or burning sensation when urinating, abnormal discharge from the penis or vagina, pain or swelling in the testicles, vaginal bleeding between periods.","Antibiotic treatment (usually a combination of ceftriaxone and azithromycin), avoiding sexual contact until treatment is completed, partner treatment, regular testing for sexually transmitted infections, practicing safe sex (condoms), notifying sexual partners to prevent spread."
Gout,"Sudden and severe pain, swelling, redness, warmth in the joints (often the big toe), lingering discomfort, limited range of motion, fever.","Medications (NSAIDs, colchicine, corticosteroids) to relieve pain and inflammation during attacks, lifestyle modifications (dietary changes, weight loss, limiting alcohol), medications to lower uric acid levels (allopurinol, febuxostat), avoiding triggers (certain foods, alcohol), staying hydrated, managing comorbid conditions."
Gum Disease,"Swollen, red, or tender gums, bleeding gums, receding gums, persistent bad breath, loose teeth, pus between gums and teeth, changes in bite.","Good oral hygiene practices (brushing, flossing, mouthwash), professional dental cleaning, scaling and root planing, antibiotics (for severe cases), surgery (flap surgery, bone or tissue grafts), lifestyle modifications (quitting smoking, managing diabetes), regular dental check-ups."
Scabies,"Itching (especially at night), rash (tiny bumps or blisters), tracks or burrows in the skin (especially between fingers)","Topical medications (permethrin, benzyl benzoate), oral medications (ivermectin), washing bedding and clothing in hot water, treating close contacts"
Scarlet Fever,"Sore throat, fever, red rash (starting on the chest or abdomen), strawberry tongue, flushed face","Antibiotics (penicillin or erythromycin), supportive care (rest, hydration, fever management), avoiding close contact with others, good hygiene practices"
Schizophrenia,"Delusions, hallucinations, disorganized thinking, abnormal motor behavior, negative symptoms (social withdrawal, lack of motivation)","Antipsychotic medications, psychotherapy, social support, rehabilitation services, lifestyle management"
Scoliosis,"Uneven shoulders or waist, one shoulder blade protruding more than the other, uneven hips or ribcage, back pain","Observation, bracing (for adolescents with moderate scoliosis), surgery (for severe scoliosis), physical therapy, exercises"
Septic Shock,"Sudden drop in blood pressure, rapid heart rate, fever or low body temperature, confusion, difficulty breathing","Immediate medical attention, intravenous fluids, antibiotics, vasopressors (to raise blood pressure), supplemental oxygen, supportive care"
Shingles,"Pain, burning, or tingling sensation followed by a rash (usually on one side of the body), fluid-filled blisters","Antiviral medications (acyclovir, valacyclovir), pain relievers (acetaminophen, ibuprofen), anticonvulsants or antidepressants for nerve pain, calamine lotion, cool compresses"
Shortness of Breath,"Difficulty breathing, chest tightness, rapid breathing, wheezing, cough","Treatment depends on underlying cause: Medications (bronchodilators, corticosteroids), oxygen therapy, pulmonary rehabilitation, treating underlying medical conditions"
Sickle Cell Disease,"Anemia, fatigue, pain (acute pain crises), jaundice, delayed growth in children, frequent infections","Pain management (analgesics, hydration, heat therapy), hydroxyurea, blood transfusions, medications to prevent complications, bone marrow or stem cell transplantation"
Sinusitis,"Facial pain or pressure, nasal congestion, runny nose, postnasal drip, cough, reduced sense of smell","Antibiotics (if bacterial), decongestants, saline nasal irrigation, pain relievers, nasal corticosteroids, steam inhalation, rest, hydration"
Sjögren’s Syndrome,"Dry eyes, dry mouth, difficulty swallowing, dental cavities, joint pain, fatigue","Symptomatic relief (eye drops, artificial saliva, moisturizing mouthwash), medications to reduce inflammation (corticosteroids), treating underlying conditions, lifestyle modifications"
Skin Cancer (Melanoma),"New mole or changes in an existing mole (asymmetry, irregular borders, uneven color, large diameter), skin lesion or growth","Surgery (excision), chemotherapy, radiation therapy, targeted therapy, immunotherapy, regular skin examinations, sun protection"
Skin Cancer (Non-Melanoma),"Red, scaly patch or sore that doesn't heal, shiny bump or nodule, pink growth with raised edges, brown or black lesion","Surgery (excision), Mohs surgery, cryotherapy, radiation therapy, topical medications (imiquimod, 5-fluorouracil), photodynamic therapy, regular skin examinations, sun protection"
Skin Rashes in Children,"Redness, bumps, blisters, itching, scaling, oozing, crusting, rash may be localized or spread over large areas","Treatment depends on underlying cause (allergies, infections, irritants): Medications (antihistamines, corticosteroids), moisturizing creams, avoiding triggers, good hygiene practices"
Slapped Cheek Syndrome,"Bright red rash on the cheeks (resembles a slapped cheek), fever, sore throat","Symptomatic relief (pain relievers, rest, hydration), avoiding close contact with others during fever, good hygiene practices, usually resolves without specific treatment"
Soft Tissue Sarcomas,"Lump or swelling (may or may not be painful), pain, difficulty breathing or swallowing, fatigue, unexplained weight loss","Surgery (wide excision), radiation therapy, chemotherapy, targeted therapy, immunotherapy, surveillance (regular follow-up), supportive care"
Soft Tissue Sarcomas: Teenagers and Young Adults,"Same as above, plus possible delays in diagnosis due to symptoms being mistaken for sports injuries or growing pains","Same as above, tailored to the individual's age and circumstances"
Sore Throat,"Pain or irritation in the throat, difficulty swallowing, swollen tonsils, white patches on the tonsils or throat","Symptomatic relief (pain relievers, throat lozenges, warm saltwater gargle), antibiotics (if bacterial), rest, hydration, avoiding irritants"
Spleen Problems and Spleen Removal,"Pain or fullness in the upper left abdomen, anemia, frequent infections, easy bleeding or bruising","Treatment depends on underlying cause: Medications (antibiotics, immunosuppressants), spleen-preserving surgeries, splenectomy (spleen removal), vaccinations"
Stillbirth,"Absence of fetal movements, no fetal heartbeat detected, vaginal bleeding or discharge (in some cases)","Immediate medical attention, induction of labor, emotional support, counseling"
Stomach Ache and Abdominal Pain,"Crampy or dull pain in the abdomen, bloating, gas, nausea, vomiting, diarrhea or constipation","Treatment depends on underlying cause: Medications (antacids, antibiotics, antispasmodics), dietary changes (avoiding trigger foods), stress management, relaxation techniques"
Stomach Cancer,"Abdominal pain or discomfort, unintentional weight loss, poor appetite, nausea, vomiting","Surgery (partial or total gastrectomy), chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care"
Haemorrhoids (Piles),"Rectal bleeding, pain or discomfort around the anus, itching or irritation in the anal region, swelling around the anus, lump near the anus.","Lifestyle modifications (high-fiber diet, adequate hydration), over-the-counter remedies (topical treatments, sitz baths), prescription medications (topical creams, suppositories), minimally invasive procedures (rubber band ligation, sclerotherapy), surgical removal (hemorrhoidectomy)."
"Hand, Foot, and Mouth Disease","Fever, sore throat, reduced appetite, mouth sores (ulcers) inside the mouth, rash or blisters on the hands, feet, or buttocks, irritability (in children).","Symptomatic relief (pain relievers, fever reducers), maintaining hydration, eating soft and cool foods, avoiding spicy or acidic foods, topical treatments for mouth sores, rest, isolation (to prevent spread), practicing good hygiene (frequent handwashing), seeking medical attention if severe symptoms or complications develop."
Hay Fever,"Sneezing, runny or stuffy nose, itchy or watery eyes, itching in the nose, roof of the mouth, or throat, coughing, fatigue.","Avoiding allergens (pollen, dust mites, pet dander), over-the-counter antihistamines, nasal corticosteroids, decongestants, allergy shots (immunotherapy), nasal irrigation, avoiding outdoor activities during high pollen counts, closing windows, using air purifiers, wearing sunglasses, seeking medical advice for severe symptoms or complications."
Head and Neck Cancer,"Lump or sore that doesn't heal, persistent sore throat, difficulty swallowing, changes in voice, ear pain, swollen lymph nodes, weight loss, persistent cough.","Treatment depends on the type, stage, and location of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy, speech therapy, swallowing therapy, nutritional support, pain management, palliative care."
Head Lice and Nits,"Itching of the scalp, visible lice or nits (lice eggs) in the hair or on the scalp.","Over-the-counter or prescription lice treatments (shampoos, lotions), manual removal of lice and nits with a fine-toothed comb, washing clothing and bedding in hot water, vacuuming furniture and carpets, avoiding head-to-head contact, informing close contacts to check for lice, practicing good hygiene."
Headaches,"Varied depending on the type of headache (e.g., tension headache, migraine, cluster headache), may include dull, aching head pain, throbbing pain on one side, pressure or tightness around the forehead or temples, sensitivity to light or sound, nausea, vomiting.","Pain relievers (NSAIDs, acetaminophen), migraine-specific medications (triptans, ergotamines), preventive medications, relaxation techniques, stress management, hydration, regular sleep schedule, avoiding triggers (e.g., certain foods, stress), seeking medical attention if severe or frequent headaches."
Hearing Loss,"Gradual or sudden decrease in hearing ability, difficulty understanding speech, asking others to speak loudly or repeat themselves, ringing in the ears (tinnitus), feeling of fullness in the ears.","Treatment depends on the cause and severity of hearing loss, may include hearing aids, cochlear implants, assistive listening devices, medications (for certain types of hearing loss), surgery (for structural abnormalities), auditory rehabilitation, communication strategies, counseling, regular follow-ups with an audiologist or ENT specialist."
Heart Attack,"Chest pain or discomfort (pressure, squeezing, fullness), pain or discomfort in the arms, back, neck, jaw, or stomach, shortness of breath, nausea, lightheadedness, cold sweat.","Emergency medical attention (call emergency services immediately), aspirin (if advised by a doctor), oxygen therapy, nitroglycerin, thrombolytic therapy (clot-busting drugs), angioplasty, stenting, coronary artery bypass surgery, medications (beta-blockers, ACE inhibitors, statins), cardiac rehabilitation."
Heart Failure,"Shortness of breath, fatigue, weakness, swelling in the legs, ankles, or feet, rapid or irregular heartbeat, persistent cough, increased need to urinate at night, sudden weight gain, decreased appetite.","Treatment focuses on managing symptoms and improving heart function, may include medications (diuretics, ACE inhibitors, beta-blockers, ARBs, aldosterone antagonists), lifestyle modifications (diet, exercise, smoking cessation), implantable devices (pacemakers, defibrillators), heart transplant (in severe cases)."
Hepatitis A,"Fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, clay-colored stools, jaundice (yellowing of skin and eyes).","Supportive care (rest, hydration, nutritious diet), avoiding alcohol, antiviral medications (not routinely used), vaccination (to prevent infection), practicing good hygiene (handwashing, safe food handling), avoiding contaminated food or water, seeking medical attention if symptoms worsen or persist."
Hepatitis B,"Fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, clay-colored stools, jaundice (yellowing of skin and eyes).","Treatment may not be necessary for acute hepatitis B (supportive care), chronic hepatitis B may require antiviral medications (interferon, nucleoside or nucleotide analogs), regular monitoring of liver function, vaccination (to prevent infection), lifestyle modifications (avoiding alcohol, maintaining a healthy diet), liver transplant (in severe cases)."
Hepatitis C,"Fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, clay-colored stools, jaundice (yellowing of skin and eyes).","Treatment may include antiviral medications (direct-acting antivirals), regular monitoring of liver function, avoiding alcohol, maintaining a healthy diet, lifestyle modifications, seeking medical attention for assessment and treatment."
Hiatus Hernia,"Heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of fullness or discomfort in the upper abdomen.","Lifestyle modifications (dietary changes, weight loss, avoiding lying down after meals), medications (antacids, H2 blockers, proton pump inhibitors), avoiding trigger foods, raising the head of the bed, avoiding tight clothing, avoiding smoking and alcohol, surgery"
Idiopathic Pulmonary Fibrosis,"Shortness of breath, persistent dry cough, fatigue, unexplained weight loss, aching muscles and joints, clubbing of fingers or toes, cyanosis (bluish tint to lips or skin), chest discomfort.","Medications (pirfenidone, nintedanib) to slow disease progression, supplemental oxygen therapy, pulmonary rehabilitation, lung transplant (in severe cases), symptom management (cough suppressants, oxygen therapy), support groups, palliative care."
Impetigo,"Red sores that rupture, ooze, and form honey-colored crusts, itching, swollen lymph nodes, fever (in some cases).","Topical antibiotics (mupirocin, fusidic acid), oral antibiotics (if extensive or recurrent), keeping sores clean and covered, avoiding scratching or touching sores, practicing good hygiene, washing hands frequently, avoiding close contact with infected individuals."
Indigestion,"Pain or discomfort in the upper abdomen (dyspepsia), bloating, gas, belching, acidic taste in the mouth, nausea, vomiting, early satiety (feeling full after eating a small amount), burning sensation in the stomach or chest (heartburn).","Lifestyle modifications (eating smaller, more frequent meals, avoiding trigger foods, quitting smoking, reducing alcohol and caffeine intake), medications (antacids, H2 blockers, proton pump inhibitors), stress management, weight loss (if overweight or obese), seeking medical attention if symptoms persist or worsen."
Ingrown Toenail,"Pain, tenderness, redness, swelling, infection around the toenail, difficulty walking or wearing shoes.","Soaking the foot in warm water, gently pushing back the skin, wearing properly fitting footwear, avoiding cutting toenails too short or rounding the edges, over-the-counter pain relievers, antibiotics (if infected), surgical removal of the nail or affected tissue (in severe or recurrent cases)."
Inherited Heart Conditions,"Varied depending on the specific condition (e.g., arrhythmias, cardiomyopathies), may include chest pain or discomfort, shortness of breath, fatigue, dizziness or lightheadedness, fainting, rapid or irregular heartbeat, swollen ankles or legs.","Treatment depends on the type and severity of the condition, may include medications (beta-blockers, ACE inhibitors, antiarrhythmics), implantable devices (pacemakers, defibrillators), surgery (repair or replacement of heart valves), lifestyle modifications (diet, exercise, smoking cessation), genetic counseling, regular cardiac monitoring."
Insomnia,"Difficulty falling asleep, staying asleep, or both, waking up too early, non-restorative sleep, daytime fatigue, irritability, difficulty concentrating, mood disturbances.","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stress management, limiting caffeine and alcohol intake, avoiding naps, medications (prescription or over-the-counter sleep aids, in some cases)."
Iron Deficiency Anaemia,"Fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness or lightheadedness, cold hands and feet, brittle nails, headache, fast heartbeat (tachycardia), restless legs syndrome, cravings for non-nutritive substances (pica).","Iron supplementation (oral or intravenous), dietary changes (iron-rich foods, vitamin C to aid iron absorption), treating underlying causes (e.g., gastrointestinal bleeding), blood transfusions (in severe cases), management of associated symptoms, regular monitoring of iron levels."
Irritable Bowel Syndrome (IBS),"Abdominal pain or cramping, bloating, gas, diarrhea, constipation, alternating diarrhea and constipation, mucus in the stool, urgency to have a bowel movement, feeling of incomplete evacuation, relief of symptoms after bowel movement.","Dietary modifications (low-FODMAP diet, fiber supplementation), stress management, medications (antispasmodics, laxatives, antidepressants), probiotics, lifestyle changes (regular exercise, adequate sleep), psychotherapy (cognitive-behavioral therapy, hypnotherapy), seeking medical advice for symptom management and monitoring."
Itching,"Varied depending on the cause (e.g., dermatitis, dry skin, allergies, insect bites), may include redness, rash, bumps, dry or cracked skin, burning or stinging sensation, swelling, hives, blisters.","Treatment depends on the underlying cause, may include topical corticosteroids, moisturizers, antihistamines, oatmeal baths, cool compresses, avoiding triggers, wearing loose clothing, using mild soaps, managing stress, seeking medical advice for persistent or severe itching."
Itchy Bottom,"Itching around the anus (pruritus ani), redness, irritation, burning sensation, discomfort, scratching (which can lead",
Rare Tumors,"Depends on the type and location of the tumor, may include lumps, pain, swelling, neurological symptoms, or organ dysfunction","Treatment varies widely depending on the tumor type, location, and stage: Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, clinical trials"
Raynaud’s Phenomenon,"Cold fingers or toes, color changes in the skin (pale, blue, or red), numbness or tingling, pain or discomfort","Lifestyle changes (keeping warm, avoiding triggers), medications (calcium channel blockers, vasodilators), biofeedback, avoiding smoking and caffeine"
Reactive Arthritis,"Joint pain and swelling, inflammation (usually in the knees, ankles, or feet), redness and warmth in affected joints","Treating underlying infection (antibiotics for bacterial infections), medications for pain and inflammation (NSAIDs, corticosteroids), physical therapy, rest, avoiding triggers"
Restless Legs Syndrome,"Uncomfortable sensations in the legs (creeping, crawling, itching, throbbing), urge to move legs to relieve discomfort","Lifestyle changes (regular exercise, avoiding caffeine), medications (dopamine agonists, anticonvulsants, opioids), iron supplements, massage, warm baths, relaxation techniques"
Retinoblastoma: Children,"White pupil (leukocoria), crossed eyes, eye redness or swelling, vision problems (strabismus, poor vision)","Treatment depends on the extent of the disease: Chemotherapy, radiation therapy, cryotherapy, laser therapy, surgery (enucleation or eye-sparing), targeted therapy, clinical trials"
Rhabdomyosarcoma,"Lump or swelling (usually painless), pain, discomfort, or pressure in the affected area, symptoms related to tumor location","Treatment depends on tumor size, location, and stage: Surgery, chemotherapy, radiation therapy, targeted therapy, stem cell transplantation, clinical trials"
Rheumatoid Arthritis,"Joint pain and swelling, morning stiffness, fatigue, joint deformities, systemic symptoms (fever, weight loss)","Medications (NSAIDs, corticosteroids, disease-modifying antirheumatic drugs - DMARDs, biologics), physical therapy, lifestyle changes (exercise, stress management), surgery"
Ringworm and Other Fungal Infections,"Red, scaly rash with raised edges, itching, burning, or stinging sensation","Antifungal medications (topical or oral), antifungal creams or ointments, keeping the affected area clean and dry, avoiding sharing personal items, washing bedding and clothing regularly"
Rosacea,"Facial redness, flushing, visible blood vessels, papules or pustules (acne-like lesions), thickened skin","Avoiding triggers (alcohol, spicy foods, hot beverages), medications (topical or oral antibiotics, retinoids, corticosteroids), laser therapy, photodynamic therapy, skincare regimen"
,,
,,
,,
,,
Paget’s Disease of the Nipple,"Redness, scaling, or crusting of the nipple or areola, itching, burning sensation, flattened or inverted nipple","Treatment depends on extent and underlying breast cancer: Surgery (mastectomy or lumpectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy, follow-up care and monitoring"
Pancreatic Cancer,"Abdominal or back pain, unexplained weight loss, jaundice (yellowing of the skin and eyes), loss of appetite","Treatment depends on tumor stage and health status: Surgery (pancreaticoduodenectomy), chemotherapy, radiation therapy, targeted therapy, immunotherapy, supportive care"
Panic Disorder,"Sudden and repeated episodes of intense fear or anxiety (panic attacks), palpitations, sweating, trembling, shortness of breath","Cognitive-behavioral therapy (CBT), medications (antidepressants, anti-anxiety drugs), relaxation techniques, lifestyle changes, support groups"
Parkinson’s Disease,"Tremor (usually starting in the hands), bradykinesia (slowness of movement), rigidity, impaired balance and coordination","Medications (levodopa, dopamine agonists, MAO-B inhibitors), deep brain stimulation surgery, physical therapy, speech therapy, occupational therapy"
Patau’s Syndrome,"Intellectual disability, physical abnormalities (cleft lip or palate, heart defects), small head (microcephaly), extra fingers or toes (polydactyly)","Treatment is supportive and depends on the specific symptoms: Surgery for congenital defects, physical therapy, special education programs"
Pelvic Inflammatory Disease,"Pelvic pain, fever, abnormal vaginal discharge, painful urination, painful intercourse, irregular menstrual bleeding","Antibiotics (to treat bacterial infection), pain relievers, rest, avoiding sexual activity during treatment"
Pelvic Organ Prolapse,"Feeling of heaviness or pressure in the pelvis, bulge or protrusion in the vaginal area, urinary incontinence or urgency","Pelvic floor exercises (Kegels), vaginal pessaries, hormone therapy, surgery (pelvic organ repair), lifestyle changes (weight management, avoiding heavy lifting)"
Penile Cancer,"Lump or growth on the penis, changes in skin color or texture, pain, discharge from the penis","Treatment depends on tumor stage and location: Surgery (penectomy), radiation therapy, chemotherapy, targeted therapy, follow-up care and monitoring"
Peripheral Neuropathy,"Numbness, tingling, or weakness in the hands or feet, burning or shooting pain, sensitivity to touch or temperature","Treatment focuses on managing symptoms and underlying cause: Pain medications (analgesics, antidepressants), physical therapy, lifestyle changes, treating underlying conditions"
Personality Disorder,"Persistent pattern of thoughts, feelings, and behaviors that deviate from cultural norms and cause distress or impairment","Psychotherapy (individual or group), medications (antidepressants, mood stabilizers), social skills training, support groups, lifestyle changes"
Pleurisy,"Chest pain (sharp or stabbing), worsens with deep breathing or coughing, shallow breathing, cough, fever","Treatment depends on underlying cause: Pain relievers (NSAIDs), antibiotics (if bacterial), rest, avoiding irritants (smoking, pollution)"
Pneumonia,"Cough (with or without sputum), fever, chills, chest pain, shortness of breath, fatigue","Antibiotics (if bacterial), antiviral medications (if viral), supportive care (rest, hydration, pain relievers), oxygen therapy, breathing treatments"
Polycystic Ovary Syndrome (PCOS),"Irregular menstrual periods, excess hair growth (hirsutism), acne, obesity, infertility","Treatment aims to manage symptoms and reduce long-term health risks: Lifestyle changes (diet, exercise), medications (birth control pills, metformin), fertility treatments"
Polymyalgia Rheumatica,"Pain and stiffness in the shoulders, neck, and hips, fatigue, weakness, flu-like symptoms","Medications (corticosteroids, NSAIDs), physical therapy, lifestyle changes (rest, gentle exercise), stress management, support groups"
Post-Polio Syndrome,"Muscle weakness or pain, fatigue, joint pain or arthritis, breathing or swallowing difficulties","Treatment focuses on managing symptoms: Physical therapy, occupational therapy, assistive devices, pain management, respiratory support, lifestyle changes"
Post-Traumatic Stress Disorder (PTSD),"Flashbacks or nightmares of traumatic event, avoidance of reminders, hypervigilance, mood changes, difficulty sleeping","Psychotherapy (cognitive-behavioral therapy, exposure therapy), medications (antidepressants, anti-anxiety drugs), support groups, relaxation techniques"
Postnatal Depression,"Persistent sadness, feelings of worthlessness or guilt, loss of interest in activities, changes in sleep or appetite","Psychotherapy (counseling, cognitive-behavioral therapy), medications (antidepressants), support groups, lifestyle changes, social support"
Pregnancy and Baby,Varies widely depending on specific concerns and stages of pregnancy and infancy,"Prenatal care, healthy lifestyle choices, regular medical check-ups, childbirth education, breastfeeding support, infant vaccinations, parent support programs, childcare resources"
Pressure Ulcers,"Reddened or discolored skin, changes in skin texture (warmth, hardness), pain or tenderness, open wound or ulceration","Prevention (repositioning, cushioning, skin care), wound care (cleaning, dressing changes), nutrition support, pressure-relieving devices"
Prostate Cancer,"Urinary symptoms (frequent urination, weak urine flow), blood in urine or semen, erectile dysfunction, bone pain","Treatment depends on tumor stage and health status: Surgery (prostatectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy, watchful waiting, supportive care"
Psoriasis,"Red patches of skin covered with silvery scales, itching, burning sensation, dry and cracked skin","Topical treatments (corticosteroids, vitamin D analogs), phototherapy, systemic medications (methotrexate, biologics), lifestyle changes (stress management, avoiding triggers)"
